Age,Count of individuals between time 100 and time 500
0,318569
1,261290
2,214643
3,176506
4,144879
5,119160
6,97964
7,80596
8,66094
9,54257
10,44516
11,36374
12,29922
13,24652
14,20243
15,16569
16,13662
17,11217
18,9178
19,7530
20,6206
21,5039
22,4106
23,3405
24,2816
25,2359
26,1971
27,1602
28,1331
29,1123
30,940
31,774
32,633
33,528
34,441
35,350
36,284
37,243
38,208
39,178
40,157
41,141
42,124
43,105
44,92
45,84
46,80
47,73
48,67
49,64
50,63
51,57
52,57
53,57
54,58
55,59
56,60
57,60
58,60
59,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
67,68
68,68
