Number of points in data set,Female fertility composite model precision,Female fertility composite model recall,Female fertility suppression rate model precision,Female fertility suppression rate model recall,Viability target composite model precision,Viability target composite model recall,Viability target suppression rate model precision,Viability target suppression rate model recall,Female fertility with resistance composite model precision,Female fertility with resistance composite model recall,Female fertility with resistance suppression rate model precision,Female fertility with resistance suppression rate model recall,Viability target with resistance composite model precision,Viability target with resistance composite model recall,Viability target with resistance suppression rate model precision,Viability target with resistance suppression rate model recall,Y-shredder composite model precision,Y-shredder composite model recall,Y-shredder suppression rate model precision,Y-shredder suppression rate model recall
1000,0.917676768,0.893313668,0.908509592,0.90806293,0.926470588,0.7,0.897959184,0.651851852,0.687229437,0.757756563,0.919876733,0.712410501,0.796536797,0.821428571,0.972222222,0.78125,0.95890411,0.238095238,0.82444062,0.81462585
2000,0.943424318,0.934611603,0.958966565,0.930678466,0.874125874,0.925925926,0.943089431,0.859259259,0.694665153,0.730310263,0.922256098,0.721957041,0.825112108,0.821428571,0.979274611,0.84375,0.921428571,0.658163265,0.872420263,0.790816327
3000,0.944640161,0.922812193,0.962187021,0.925762045,0.896797153,0.933333333,0.97107438,0.87037037,0.717073171,0.701670644,0.923312883,0.718377088,0.833333333,0.803571429,0.983146067,0.78125,0.939086294,0.629251701,0.883548983,0.81292517
4000,0.937530503,0.944444444,0.960261569,0.938544739,0.882758621,0.948148148,0.991735537,0.888888889,0.692972973,0.764916468,0.929307806,0.752983294,0.855721393,0.767857143,0.975,0.870535714,0.9425,0.641156463,0.916666667,0.785714286
5000,0.937897311,0.942969518,0.965,0.948869223,0.882758621,0.948148148,0.979423868,0.881481481,0.704615385,0.819809069,0.93128655,0.760143198,0.845771144,0.758928571,0.984924623,0.875,0.927536232,0.653061224,0.922348485,0.828231293
6000,0.936708861,0.945919371,0.966084788,0.952310718,0.879725086,0.948148148,0.975609756,0.888888889,0.708669355,0.838902148,0.938129496,0.778042959,0.852791878,0.75,0.984924623,0.875,0.940617577,0.673469388,0.935361217,0.836734694
7000,0.939688716,0.949852507,0.968937876,0.950835792,0.87755102,0.955555556,0.979338843,0.877777778,0.706293706,0.843675418,0.949127907,0.779236277,0.852631579,0.723214286,0.99,0.883928571,0.939252336,0.683673469,0.941176471,0.843537415
8000,0.940116845,0.949360865,0.972837022,0.950835792,0.885416667,0.944444444,0.979338843,0.877777778,0.704225352,0.835322196,0.954810496,0.781622912,0.859459459,0.709821429,0.989949749,0.879464286,0.944578313,0.666666667,0.938931298,0.836734694
9000,0.942634905,0.953294002,0.972837022,0.950835792,0.885813149,0.948148148,0.98340249,0.877777778,0.706951386,0.837708831,0.953630032,0.785202864,0.854310735,0.694196429,0.989872834,0.872767857,0.939409338,0.683673469,0.934345501,0.846088435
10000,0.940320233,0.95280236,0.971957937,0.954277286,0.886206897,0.951851852,0.979757085,0.896296296,0.709677419,0.840095465,0.952449568,0.788782816,0.849162011,0.678571429,0.989795918,0.866071429,0.934240363,0.700680272,0.929759704,0.855442177
